1,1
1,1
1,1
1,1
1,6
1,6
1,1
1,9
1,1
1,14
1,1
1,1
1,1
1,1
1,14
1,31
1,1
1,1
1,1
1,1
1,9
1,14
1,28
1,24
1,1
1,1
1,1
1,1
1,14
1,1
1,6
1,1
1,6
6,6
1,6
6,6
1,6
1,6
6,6
6,6
1,1
1,1
1,1
1,1
1,9
1,9
9,31
9,24
9,24
1,1
1,1
1,6
1,14
1,14
1,14
1,14
14,24
6,6
6,6
24,28
24,24
24,24
24,24
1,28
24,28
24,28
24,24
24,24
24,24
1,31
9,31
24,31
24,31
1,24
9,24
24,24
24,24
24,31
24,24
9,24
14,24
24,24
24,28
24,24
24,31
24,24
1,1
1,1
1,1
1,1
1,6
1,6
1,1
1,9
1,1
1,14
1,1
1,1
1,1
1,1
1,14
1,31
1,1
1,1
1,1
1,1
1,9
1,14
1,28
1,24
1,1
1,1
1,1
1,1
1,14
1,1
1,6
1,1
1,6
6,6
1,6
6,6
1,6
1,6
6,6
6,6
1,1
1,1
1,1
1,1
1,9
1,9
9,31
9,24
9,24
1,1
1,1
1,6
1,14
1,14
1,14
1,14
14,24
6,6
6,6
24,28
24,24
24,24
24,24
1,28
24,28
24,28
24,24
24,24
24,24
1,31
9,31
24,31
24,31
1,24
9,24
24,24
24,24
24,31
24,24
9,24
14,24
24,24
24,28
24,24
24,31
24,24
1,1
1,1
1,1
1,1
1,6
1,6
1,1
1,9
1,1
1,14
1,1
1,1
1,1
1,1
1,14
1,31
1,1
1,1
1,1
1,1
1,9
1,14
1,28
1,24
1,1
1,1
1,1
1,1
1,14
1,1
1,6
1,1
1,6
6,6
1,6
6,6
1,6
1,6
6,6
6,6
1,1
1,1
1,1
1,1
1,9
1,9
9,31
9,24
9,24
1,1
1,1
1,6
1,14
1,14
1,14
1,14
14,24
6,6
6,6
24,28
24,24
24,24
24,24
1,28
24,28
24,28
24,24
24,24
24,24
1,31
9,31
24,31
24,31
1,24
9,24
24,24
24,24
24,31
24,24
9,24
14,24
24,24
24,28
24,24
24,31
24,24
1,2
1,3
1,4
1,6
1,7
1,8
1,9
1,14
1,32
2,1
2,3
2,4
2,8
2,14
2,31
3,1
3,2
3,4
3,8
3,9
3,14
3,28
3,33
4,1
4,2
4,3
4,8
4,14
6,1
6,7
7,1
7,6
8,1
8,2
8,3
8,4
9,1
9,3
9,31
9,33
9,34
14,1
14,2
14,3
14,4
14,34
24,28
24,30
24,33
24,34
28,3
28,24
28,34
30,24
30,33
30,34
31,2
31,9
31,33
31,34
32,1
32,33
32,34
33,3
33,9
33,24
33,30
33,31
33,32
33,34
34,9
34,14
34,24
34,28
34,30
34,31
34,32
34,33
